type,start_id,end_id,end_type
contains,l2_learning_rate_scheduling,l3_square_root_scheduler_implementation,L3
contains,l2_learning_rate_scheduling,l3_factor_scheduler_implementation,L3
contains,l2_piecewise_constant_scheduler,l3_multifactor_scheduler_implementation,L3
contains,l2_cosine_scheduler,l3_cosine_scheduler_with_warmup_implementation,L3
prerequisite,l2_learning_rate_scheduling,l2_warmup_strategy,L2
prerequisite,l2_learning_rate_scheduling,l2_polynomial_decay,L2
prerequisite,l2_learning_rate_scheduling,l2_cosine_scheduler,L2
prerequisite,l2_learning_rate_scheduling,l2_piecewise_constant_scheduler,L2
prerequisite,l2_learning_rate_scheduling,l2_multiplicative_decay,L2
prerequisite,l2_warmup_strategy,l3_cosine_scheduler_with_warmup_implementation,L3
contains,l1-5,l2_minibatch_gradient_descent,L2
contains,l1-5,l2_vectorization,L2
contains,l1-5,l2_cache_hierarchy,L2
contains,l1-5,l2_gradient_variance,L2
contains,l2_minibatch_gradient_descent,l3_batch_data_loading,L3
contains,l2_minibatch_gradient_descent,l3_sgd_implementation,L3
contains,l2_vectorization,l3_block_matrix_multiplication,L3
contains,l2_minibatch_gradient_descent,l3_learning_rate_scheduling,L3
prerequisite,l2_vectorization,l2_minibatch_gradient_descent,L2
prerequisite,l2_cache_hierarchy,l2_vectorization,L2
prerequisite,l2_gradient_variance,l2_minibatch_gradient_descent,L2
prerequisite,l3_batch_data_loading,l3_sgd_implementation,L3
contains,l1-5,l2_gradient_descent,L2
contains,l1-5,l2_learning_rate,L2
contains,l1-5,l2_local_minima,L2
contains,l1-5,l2_newtons_method,L2
contains,l1-5,l2_preconditioning,L2
contains,l1-5,l2_line_search,L2
contains,l2_gradient_descent,l3_implement_univariate_gd,L3
contains,l2_gradient_descent,l3_implement_multivariate_gd,L3
contains,l2_newtons_method,l3_implement_newtons_method,L3
contains,l2_preconditioning,l3_diagonal_preconditioning,L3
prerequisite,l2_gradient_descent,l2_newtons_method,L2
prerequisite,l2_learning_rate,l2_gradient_descent,L2
prerequisite,l2_gradient_descent,l2_local_minima,L2
prerequisite,l2_newtons_method,l2_preconditioning,L2
prerequisite,l2_gradient_descent,l2_line_search,L2
contains,l1-5,l2_stochastic_gradient_descent,L2
contains,l1-5,l2_learning_rate_scheduling,L2
contains,l1-5,l2_convergence_analysis,L2
contains,l1-5,l2_sampling_without_replacement,L2
contains,l2_learning_rate_scheduling,l3_piecewise_constant_lr,L3
contains,l2_learning_rate_scheduling,l3_exponential_decay_lr,L3
contains,l2_learning_rate_scheduling,l3_polynomial_decay_lr,L3
contains,l2_stochastic_gradient_descent,l3_sgd_update_rule,L3
prerequisite,l2_stochastic_gradient_descent,l2_learning_rate_scheduling,L2
prerequisite,l2_stochastic_gradient_descent,l2_convergence_analysis,L2
prerequisite,l2_learning_rate_scheduling,l3_exponential_decay_lr,L3
prerequisite,l2_learning_rate_scheduling,l3_polynomial_decay_lr,L3
contains,l1-12,l2_convolutional_neural_networks,L2
contains,l1-12,l2_translation_invariance,L2
contains,l1-12,l2_locality,L2
contains,l1-12,l2_convolution_layer,L2
contains,l1-12,l2_convolution_kernel,L2
contains,l1-12,l2_channels,L2
contains,l1-12,l2_feature_maps,L2
contains,l1-12,l2_multilayer_perceptron_limitations,L2
contains,l2_convolution_layer,l3_implement_convolution_with_local_receptive_field,L3
contains,l2_convolution_layer,l3_apply_multiple_input_output_channels,L3
contains,l2_translation_invariance,l3_enforce_translation_invariance_via_shared_weights,L3
prerequisite,l2_multilayer_perceptron_limitations,l2_convolutional_neural_networks,L2
prerequisite,l2_translation_invariance,l2_convolution_layer,L2
prerequisite,l2_locality,l2_convolution_layer,L2
prerequisite,l2_convolution_kernel,l3_implement_convolution_with_local_receptive_field,L3
prerequisite,l2_channels,l3_apply_multiple_input_output_channels,L3
has_resource,l1-12,res_lecture_from_fully_connected_to_convolution,Resource
has_resource,l1-12,res_ppt_from_fully_connected_to_convolution,Resource
has_resource,l1-12,res_video_from_fully_connected_to_convolution,Resource
contains,l1-12,l2_convolutional_neural_network,L2
contains,l1-12,l2_convolutional_layer,L2
contains,l1-12,l2_padding,L2
contains,l1-12,l2_stride,L2
contains,l1-12,l2_pooling_layer,L2
contains,l1-12,l2_channels,L2
contains,l1-12,l2_lenet,L2
has_resource,l1-12,res_lecture_region_cnn,Resource
has_resource,l1-12,res_ppt_region_cnns,Resource
has_resource,l1-12,res_video_region_cnns,Resource
contains,l1-12,l2_lenet_architecture,L2
contains,l1-12,l2_convolutional_layer,L2
contains,l1-12,l2_pooling_layer,L2
contains,l1-12,l2_activation_function_in_cnn,L2
contains,l1-12,l2_feature_map,L2
contains,l1-12,l2_flattening_in_cnn,L2
contains,l2_lenet_architecture,l3_construct_lenet_model,L3
contains,l2_lenet_architecture,l3_train_cnn_on_gpu,L3
contains,l2_convolutional_layer,l3_initialize_cnn_parameters,L3
contains,l2_lenet_architecture,l3_evaluate_cnn_accuracy,L3
prerequisite,l2_convolutional_layer,l2_lenet_architecture,L2
prerequisite,l2_pooling_layer,l2_lenet_architecture,L2
prerequisite,l2_flattening_in_cnn,l3_construct_lenet_model,L3
prerequisite,l3_construct_lenet_model,l3_train_cnn_on_gpu,L3
has_resource,l1-12,res_lecture_卷积神经网络_le_net,Resource
has_resource,l1-12,res_ppt_卷积神经网络_le_net,Resource
has_resource,l1-12,res_code_卷积神经网络_le_net,Resource
has_resource,l1-12,res_video_卷积神经网络_le_net,Resource
contains,l1-12,l2_cross_correlation,L2
contains,l1-12,l2_convolution_layer,L2
contains,l1-12,l2_edge_detection,L2
contains,l1-12,l2_kernel_learning,L2
contains,l1-12,l2_feature_map,L2
contains,l1-12,l2_receptive_field,L2
contains,l2_cross_correlation,l3_implement_corr2d,L3
contains,l2_convolution_layer,l3_build_custom_conv2d,L3
contains,l2_kernel_learning,l3_train_kernel_from_io,L3
prerequisite,l2_cross_correlation,l2_convolution_layer,L2
prerequisite,l2_cross_correlation,l2_edge_detection,L2
prerequisite,l2_edge_detection,l2_kernel_learning,L2
prerequisite,l3_implement_corr2d,l3_build_custom_conv2d,L3
has_resource,l1-12,res_lecture_image_convolution,Resource
has_resource,l1-12,res_ppt_image_convolution,Resource
has_resource,l1-12,res_code_image_convolution,Resource
has_resource,l1-12,res_video_image_convolution,Resource
contains,l1-12,l2_padding,L2
contains,l1-12,l2_stride,L2
contains,l2_padding,l3_apply_same_padding,L3
contains,l2_padding,l3_configure_asymmetric_padding_and_stride,L3
contains,l2_stride,l3_calculate_output_shape_with_padding_and_stride,L3
contains,l2_stride,l3_configure_asymmetric_padding_and_stride,L3
prerequisite,l2_padding,l3_apply_same_padding,L3
prerequisite,l2_stride,l3_calculate_output_shape_with_padding_and_stride,L3
prerequisite,l2_padding,l3_calculate_output_shape_with_padding_and_stride,L3
has_resource,l2_padding,res_lecture_padding_and_stride,Resource
has_resource,l2_stride,res_lecture_padding_and_stride,Resource
has_resource,l3_apply_same_padding,res_code_padding_and_stride,Resource
has_resource,l3_configure_asymmetric_padding_and_stride,res_code_padding_and_stride,Resource
has_resource,l1-12,res_ppt_padding_and_stride,Resource
has_resource,l1-12,res_video_padding_and_stride,Resource
contains,l1-12,l2_multi_input_channels,L2
contains,l1-12,l2_multi_output_channels,L2
contains,l1-12,l2_1x1_convolution,L2
contains,l2_multi_input_channels,l3_implement_multi_input_correlation,L3
contains,l2_multi_output_channels,l3_implement_multi_output_correlation,L3
contains,l2_1x1_convolution,l3_implement_1x1_convolution_with_fc,L3
prerequisite,l2_multi_input_channels,l2_multi_output_channels,L2
prerequisite,l2_multi_input_channels,l2_1x1_convolution,L2
prerequisite,l2_multi_output_channels,l2_1x1_convolution,L2
prerequisite,l3_implement_multi_input_correlation,l3_implement_multi_output_correlation,L3
prerequisite,l3_implement_multi_output_correlation,l3_implement_1x1_convolution_with_fc,L3
has_resource,l1-12,res_lecture_multi_input_multi_output_channels,Resource
has_resource,l1-12,res_ppt_multi_input_multi_output_channels,Resource
has_resource,l1-12,res_code_multi_input_multi_output_channels,Resource
has_resource,l1-12,res_video_multi_input_multi_output_channels,Resource
contains,l1-12,l2_pooling_layer,L2
contains,l1-12,l2_max_pooling,L2
contains,l1-12,l2_average_pooling,L2
contains,l1-12,l2_pooling_stride_and_padding,L2
contains,l1-12,l2_multi_channel_pooling,L2
contains,l2_pooling_layer,l3_implement_pool2d_forward,L3
contains,l2_max_pooling,l3_verify_max_pooling_output,L3
contains,l2_average_pooling,l3_verify_average_pooling_output,L3
contains,l2_pooling_stride_and_padding,l3_configure_pooling_with_padding_stride,L3
contains,l2_multi_channel_pooling,l3_apply_pooling_to_multi_channel_input,L3
prerequisite,l2_pooling_layer,l2_max_pooling,L2
prerequisite,l2_pooling_layer,l2_average_pooling,L2
prerequisite,l2_pooling_layer,l2_pooling_stride_and_padding,L2
prerequisite,l2_pooling_layer,l2_multi_channel_pooling,L2
has_resource,l2_pooling_layer,res_lecture_汇聚层,Resource
has_resource,l2_pooling_layer,res_ppt_池化层,Resource
has_resource,l2_pooling_layer,res_code_池化层,Resource
has_resource,l2_pooling_layer,res_video_池化层,Resource
contains,l1-10,l2_forward_propagation,L2
contains,l1-10,l2_backward_propagation,L2
contains,l1-10,l2_computation_graph,L2
contains,l1-10,l2_l2_regularization,L2
contains,l1-10,l2_automatic_differentiation,L2
contains,l2_forward_propagation,l3_compute_hidden_activation,L3
contains,l2_forward_propagation,l3_compute_output_layer,L3
contains,l2_l2_regularization,l3_compute_regularization_term,L3
contains,l2_backward_propagation,l3_compute_gradient_w2,L3
contains,l2_backward_propagation,l3_compute_gradient_w1,L3
contains,l2_forward_propagation,l3_alternating_forward_backward,L3
contains,l2_backward_propagation,l3_alternating_forward_backward,L3
prerequisite,l2_forward_propagation,l2_backward_propagation,L2
prerequisite,l2_computation_graph,l2_backward_propagation,L2
prerequisite,l2_computation_graph,l2_automatic_differentiation,L2
prerequisite,l2_forward_propagation,l3_compute_gradient_w2,L3
prerequisite,l2_forward_propagation,l3_compute_gradient_w1,L3
prerequisite,l2_l2_regularization,l3_compute_gradient_w2,L3
prerequisite,l2_l2_regularization,l3_compute_gradient_w1,L3
contains,l1-10,l2_multilayer_perceptron,L2
contains,l1-10,l2_overfitting,L2
contains,l1-10,l2_underfitting,L2
contains,l1-10,l2_model_selection,L2
contains,l1-10,l2_weight_decay,L2
contains,l1-10,l2_dropout,L2
contains,l1-10,l2_numerical_stability,L2
contains,l1-10,l2_parameter_initialization,L2
contains,l2_multilayer_perceptron,l3_house_price_prediction_with_mlp,L3
prerequisite,l2_overfitting,l2_weight_decay,L2
prerequisite,l2_overfitting,l2_dropout,L2
prerequisite,l2_parameter_initialization,l2_numerical_stability,L2
has_resource,l2_multilayer_perceptron,res_lecture_multilayer_perceptron,Resource
has_resource,l2_multilayer_perceptron,res_ppt_multilayer_perceptron,Resource
has_resource,l2_multilayer_perceptron,res_code_multilayer_perceptron,Resource
has_resource,l2_multilayer_perceptron,res_video_multilayer_perceptron,Resource
contains,l1-10,l2_multilayer_perceptron,L2
contains,l1-10,l2_activation_function,L2
contains,l1-10,l2_model_initialization,L2
contains,l1-10,l2_forward_computation,L2
contains,l2_multilayer_perceptron,l3_implement_mlp_from_scratch,L3
contains,l2_activation_function,l3_implement_relu_activation,L3
contains,l2_model_initialization,l3_initialize_hidden_layer_parameters,L3
contains,l2_forward_computation,l3_train_mlp_with_sgd,L3
prerequisite,l2_model_initialization,l3_implement_mlp_from_scratch,L3
prerequisite,l2_activation_function,l3_implement_mlp_from_scratch,L3
prerequisite,l2_forward_computation,l3_implement_mlp_from_scratch,L3
has_resource,l2_multilayer_perceptron,res_lecture_多层感知机的从零开始实现,Resource
has_resource,l3_implement_mlp_from_scratch,res_code_多层感知机的从零开始实现,Resource
has_resource,l2_multilayer_perceptron,res_video_多层感知机的从零开始实现,Resource
contains,l1-10,l2_multilayer_perceptron,L2
contains,l1-10,l2_hidden_layer,L2
contains,l1-10,l2_relu_activation,L2
contains,l2_multilayer_perceptron,l3_concise_mlp_implementation,L3
contains,l2_multilayer_perceptron,l3_weight_initialization_normal,L3
contains,l2_multilayer_perceptron,l3_training_with_sgd,L3
prerequisite,l2_hidden_layer,l2_multilayer_perceptron,L2
prerequisite,l2_relu_activation,l2_multilayer_perceptron,L2
has_resource,l2_multilayer_perceptron,res_lecture_multilayer_perceptron_concise,Resource
has_resource,l2_multilayer_perceptron,res_code_multilayer_perceptron_concise,Resource
has_resource,l2_multilayer_perceptron,res_video_multilayer_perceptron_concise,Resource
contains,l1-3,l2_data_preprocessing,L2
contains,l1-3,l2_k_fold_cross_validation,L2
contains,l1-3,l2_log_rmse,L2
contains,l1-3,l2_one_hot_encoding,L2
contains,l1-3,l2_feature_standardization,L2
contains,l1-3,l2_model_selection,L2
contains,l2_data_preprocessing,l3_download_and_cache_dataset,L3
contains,l2_data_preprocessing,l3_handle_missing_values_with_mean,L3
contains,l2_data_preprocessing,l3_convert_pandas_to_tensor,L3
contains,l2_k_fold_cross_validation,l3_implement_k_fold_split,L3
contains,l2_model_selection,l3_submit_kaggle_prediction,L3
prerequisite,l2_feature_standardization,l2_log_rmse,L2
prerequisite,l2_one_hot_encoding,l2_data_preprocessing,L2
prerequisite,l2_data_preprocessing,l2_k_fold_cross_validation,L2
has_resource,l1-3,res_lecture_实战_kaggle_比赛_预测房价,Resource
has_resource,l1-3,res_code_实战_kaggle_比赛_预测房价,Resource
has_resource,l1-3,res_video_实战_kaggle_比赛_预测房价,Resource
contains,l1-10,l2_numerical_stability,L2
contains,l1-10,l2_gradient_vanishing,L2
contains,l1-10,l2_gradient_exploding,L2
contains,l1-10,l2_symmetry_breaking,L2
contains,l1-10,l2_parameter_initialization,L2
contains,l1-10,l2_xavier_initialization,L2
contains,l2_parameter_initialization,l3_initialize_with_normal_distribution,L3
contains,l2_xavier_initialization,l3_initialize_with_uniform_distribution_for_xavier,L3
contains,l2_gradient_vanishing,l3_analyze_sigmoid_gradient_vanishing,L3
contains,l2_gradient_exploding,l3_random_matrix_multiplication_explosion,L3
prerequisite,l2_numerical_stability,l2_gradient_vanishing,L2
prerequisite,l2_numerical_stability,l2_gradient_exploding,L2
prerequisite,l2_symmetry_breaking,l2_parameter_initialization,L2
prerequisite,l2_parameter_initialization,l2_xavier_initialization,L2
has_resource,l2_numerical_stability,res_lecture_numerical_stability,Resource
has_resource,l2_numerical_stability,res_ppt_numerical_stability,Resource
has_resource,l2_numerical_stability,res_code_numerical_stability,Resource
has_resource,l2_numerical_stability,res_video_numerical_stability,Resource
contains,l1-10,l2_dropout,L2
contains,l1-10,l2_bias_variance_tradeoff,L2
contains,l1-10,l2_overfitting_in_dnn,L2
contains,l1-10,l2_noise_robustness,L2
contains,l2_dropout,l3_implement_dropout_layer,L3
contains,l2_dropout,l3_apply_dropout_to_mlp,L3
contains,l2_dropout,l3_use_framework_dropout,L3
prerequisite,l2_bias_variance_tradeoff,l2_overfitting_in_dnn,L2
prerequisite,l2_noise_robustness,l2_dropout,L2
prerequisite,l2_dropout,l3_implement_dropout_layer,L3
prerequisite,l3_implement_dropout_layer,l3_apply_dropout_to_mlp,L3
has_resource,l2_dropout,res_lecture_dropout,Resource
has_resource,l2_dropout,res_ppt_dropout,Resource
has_resource,l3_implement_dropout_layer,res_code_dropout,Resource
has_resource,l2_dropout,res_video_dropout,Resource
contains,l1-5,l2_weight_decay,L2
contains,l1-5,l2_l2_regularization,L2
contains,l1-5,l2_l1_regularization,L2
contains,l1-5,l2_ridge_regression,L2
contains,l1-5,l2_lasso_regression,L2
contains,l1-5,l2_norms_in_regularization,L2
contains,l2_weight_decay,l3_implement_weight_decay_from_scratch,L3
contains,l2_weight_decay,l3_use_framework_weight_decay,L3
contains,l2_l2_regularization,l3_l2_penalty_computation,L3
contains,l2_l2_regularization,l3_sgd_with_weight_decay_update,L3
contains,l2_weight_decay,l3_exclude_bias_from_regularization,L3
prerequisite,l2_norms_in_regularization,l2_weight_decay,L2
prerequisite,l2_weight_decay,l2_l2_regularization,L2
prerequisite,l2_weight_decay,l2_l1_regularization,L2
prerequisite,l2_l2_regularization,l2_ridge_regression,L2
prerequisite,l2_l1_regularization,l2_lasso_regression,L2
prerequisite,l3_l2_penalty_computation,l3_sgd_with_weight_decay_update,L3
prerequisite,l3_implement_weight_decay_from_scratch,l3_use_framework_weight_decay,L3
has_resource,l2_weight_decay,res_lecture_权重衰减,Resource
has_resource,l2_weight_decay,res_ppt_权重衰减,Resource
has_resource,l3_implement_weight_decay_from_scratch,res_code_权重衰减,Resource
has_resource,l2_weight_decay,res_video_权重衰减,Resource
contains,l1-3,l2_model_selection,L2
contains,l1-3,l2_underfitting,L2
contains,l1-3,l2_overfitting,L2
contains,l1-3,l2_training_error,L2
contains,l1-3,l2_generalization_error,L2
contains,l1-3,l2_validation_set,L2
contains,l1-3,l2_k_fold_cross_validation,L2
contains,l1-3,l2_model_complexity,L2
contains,l1-3,l2_iid_assumption,L2
contains,l2_model_selection,l3_polynomial_regression,L3
contains,l2_overfitting,l3_early_stopping,L3
contains,l2_model_complexity,l3_feature_normalization_in_polynomial,L3
prerequisite,l2_training_error,l2_overfitting,L2
prerequisite,l2_generalization_error,l2_overfitting,L2
prerequisite,l2_training_error,l2_underfitting,L2
prerequisite,l2_generalization_error,l2_underfitting,L2
prerequisite,l2_validation_set,l2_model_selection,L2
prerequisite,l2_k_fold_cross_validation,l2_model_selection,L2
prerequisite,l2_model_complexity,l2_overfitting,L2
prerequisite,l2_model_complexity,l2_underfitting,L2
prerequisite,l2_iid_assumption,l2_generalization_error,L2
has_resource,l2_underfitting,res_lecture_model_selection_underfitting_overfitting,Resource
has_resource,l2_overfitting,res_lecture_model_selection_underfitting_overfitting,Resource
has_resource,l2_model_selection,res_lecture_model_selection_underfitting_overfitting,Resource
has_resource,l2_underfitting,res_ppt_underfitting_overfitting,Resource
has_resource,l2_overfitting,res_ppt_underfitting_overfitting,Resource
has_resource,l2_underfitting,res_code_underfitting_overfitting,Resource
has_resource,l2_overfitting,res_code_underfitting_overfitting,Resource
has_resource,l3_polynomial_regression,res_code_underfitting_overfitting,Resource
has_resource,l2_underfitting,res_video_underfitting_overfitting,Resource
has_resource,l2_overfitting,res_video_underfitting_overfitting,Resource
contains,l1-3,l2_distribution_shift,L2
contains,l1-3,l2_covariate_shift,L2
contains,l1-3,l2_label_shift,L2
contains,l1-3,l2_concept_shift,L2
contains,l1-3,l2_nonstationary_distribution,L2
contains,l1-3,l2_empirical_risk,L2
contains,l1-3,l2_true_risk,L2
contains,l1-3,l2_batch_learning,L2
contains,l1-3,l2_online_learning,L2
contains,l1-3,l2_bandits,L2
contains,l1-3,l2_reinforcement_learning,L2
contains,l1-3,l2_fairness_accountability_transparency,L2
contains,l2_distribution_shift,l2_covariate_shift,L2
contains,l2_distribution_shift,l2_label_shift,L2
contains,l2_distribution_shift,l2_concept_shift,L2
contains,l2_distribution_shift,l2_nonstationary_distribution,L2
contains,l2_empirical_risk,l3_weighted_empirical_risk_minimization,L3
contains,l2_covariate_shift,l3_logistic_regression_for_density_ratio_estimation,L3
contains,l2_label_shift,l3_confusion_matrix_based_label_shift_correction,L3
contains,l2_concept_shift,l3_online_model_update,L3
prerequisite,l2_empirical_risk,l2_true_risk,L2
prerequisite,l2_empirical_risk,l3_weighted_empirical_risk_minimization,L3
prerequisite,l2_covariate_shift,l3_logistic_regression_for_density_ratio_estimation,L3
prerequisite,l2_label_shift,l3_confusion_matrix_based_label_shift_correction,L3
contains,l1-11,l2_sequence_modeling,L2
contains,l1-11,l2_autoregressive_model,L2
contains,l1-11,l2_latent_autoregressive_model,L2
contains,l1-11,l2_markov_model,L2
contains,l1-11,l2_stationarity,L2
contains,l1-11,l2_causality_in_sequences,L2
contains,l1-11,l2_one_step_prediction,L2
contains,l1-11,l2_multistep_prediction,L2
contains,l1-11,l2_extrapolation_vs_interpolation,L2
contains,l2_sequence_modeling,l3_feature_label_pair_construction,L3
contains,l2_autoregressive_model,l3_mlp_for_sequence_prediction,L3
contains,l2_multistep_prediction,l3_recursive_multistep_forecasting,L3
contains,l2_multistep_prediction,l3_k_step_prediction_evaluation,L3
prerequisite,l2_sequence_modeling,l2_autoregressive_model,L2
prerequisite,l2_autoregressive_model,l2_latent_autoregressive_model,L2
prerequisite,l2_autoregressive_model,l2_markov_model,L2
prerequisite,l2_one_step_prediction,l2_multistep_prediction,L2
prerequisite,l2_extrapolation_vs_interpolation,l2_sequence_modeling,L2
prerequisite,l2_stationarity,l2_autoregressive_model,L2
prerequisite,l2_causality_in_sequences,l2_autoregressive_model,L2
prerequisite,l3_feature_label_pair_construction,l3_mlp_for_sequence_prediction,L3
prerequisite,l3_mlp_for_sequence_prediction,l3_recursive_multistep_forecasting,L3
has_resource,l1-11,res_lecture_sequence_model,Resource
has_resource,l1-11,res_ppt_sequence_model,Resource
has_resource,l1-11,res_code_sequence_model,Resource
has_resource,l1-11,res_video_sequence_model,Resource
contains,l1-11,l2_sequence_data,L2
contains,l1-11,l2_recurrent_neural_network,L2
contains,l1-11,l2_language_modeling,L2
contains,l1-11,l2_rnn_gradient_computation,L2
contains,l1-11,l2_text_preprocessing_for_sequences,L2
contains,l2_recurrent_neural_network,l3_state_variable_update,L3
contains,l2_sequence_data,l3_predict_next_in_sequence,L3
prerequisite,l2_sequence_data,l2_recurrent_neural_network,L2
prerequisite,l2_recurrent_neural_network,l2_language_modeling,L2
prerequisite,l2_recurrent_neural_network,l2_rnn_gradient_computation,L2
