id,name,type,level,description,difficulty,aliases,url,resource_type
l2_gradient_variance_as_hessian_proxy,梯度方差作为Hessian代理,KnowledgePoint,L2,在无法计算完整Hessian矩阵的情况下，使用梯度的平方（或方差）作为其对角线的廉价替代，用于自适应学习率调整。,高,"gradient variance proxy,Hessian approximation via gradients",,
l2_adam_algorithm,Adam算法,KnowledgePoint,L2,一种结合动量和自适应学习率的优化算法，使用指数加权移动平均估算梯度的一阶矩（动量）和二阶矩（平方梯度），并进行偏差校正以加速收敛。,中等,"Adam,Adaptive Moment Estimation",,
l2_yogi_algorithm,Yogi算法,KnowledgePoint,L2,Adam算法的改进版本，通过修改二阶矩更新规则，使用符号函数控制更新方向，以解决Adam在某些情况下因方差估计不稳定而发散的问题。,高,"Yogi,Yogi optimizer",,
l2_exponential_weighted_moving_average,指数加权移动平均,KnowledgePoint,L2,用于估算梯度动量和二次矩的统计方法，在Adam等优化器中用于平滑历史梯度信息。,基础,"EWMA,Exponentially Weighted Moving Average",,
l2_bias_correction,偏差校正,KnowledgePoint,L2,在Adam算法中，由于初始状态为零导致早期估计存在偏差，通过除以(1 - β^t)进行校正，以获得无偏估计。,中等,"bias correction,unbiased estimation",,
l2_rmsprop_algorithm,RMSProp算法,KnowledgePoint,L2,一种自适应学习率优化算法，通过使用梯度平方的泄漏平均值（指数移动平均）来调整每个参数的学习率，从而解决Adagrad学习率衰减过快的问题。,中等,"RMSProp,Root Mean Square Propagation",,
l2_leaky_average_of_squared_gradients,梯度平方的泄漏平均,KnowledgePoint,L2,在RMSProp中用于替代Adagrad中累积全部历史梯度平方的方法，通过引入衰减因子γ对历史梯度平方进行指数加权平均，使得算法能更灵活地适应非凸优化问题。,中等,"exponential moving average of squared gradients,leaky averaging",,
l2_adaptive_learning_rate_per_coordinate,按坐标的自适应学习率,KnowledgePoint,L2,为每个参数（坐标）单独调整学习率，基于其历史梯度信息进行缩放，以提升收敛速度和稳定性。,中等,"coordinate-wise adaptive learning rate,per-parameter learning rate adaptation",,
l2_loss_function,损失函数,KnowledgePoint,L2,在深度学习中用于衡量模型预测与真实标签之间差异的函数，也是优化算法试图最小化的对象。,基础,"loss function,objective function,cost function",,
l2_empirical_risk,经验风险,KnowledgePoint,L2,训练数据集上的平均损失，是优化算法直接最小化的目标。,中等,"empirical risk,training error",,
l2_risk,风险,KnowledgePoint,L2,整个数据分布上的期望损失，对应于泛化误差，是深度学习的最终目标。,中等,"risk,expected loss,generalization error",,
l2_local_minimum,局部最小值,KnowledgePoint,L2,目标函数在某点的值小于其邻域内所有其他点的值，但不一定是全局最小值。,中等,local minimum,,
l2_global_minimum,全局最小值,KnowledgePoint,L2,目标函数在整个定义域中的最小值。,中等,global minimum,,
l2_saddle_point,鞍点,KnowledgePoint,L2,梯度为零但既非局部最小值也非局部最大值的点，常见于高维非凸优化问题中。,高,saddle point,,
l2_gradient_vanishing,梯度消失,KnowledgePoint,L2,在某些区域梯度接近于零，导致优化过程停滞，常见于使用如tanh等饱和激活函数的深层网络中。,高,"vanishing gradient,gradient vanishing problem",,
l2_hessian_matrix,Hessian矩阵,KnowledgePoint,L2,目标函数的二阶偏导数组成的矩阵，用于判断临界点的性质（最小值、最大值或鞍点）。,高,"Hessian matrix,黑塞矩阵",,
l2_non_convex_optimization,非凸优化,KnowledgePoint,L2,深度学习中绝大多数优化问题属于非凸优化，其目标函数具有多个局部极小值，难以保证全局最优解。,中等,non-convex optimization,,
l2_convex_optimization,凸优化,KnowledgePoint,L2,在凸目标函数背景下设计和分析优化算法，虽不完全适用于深度学习，但对理解优化原理具有启发性。,中等,convex optimization,,
l2_stochastic_gradient_descent,随机梯度下降,KnowledgePoint,L2,一种在凸目标函数上使用的简单但有效的优化算法，是许多高级优化器的基础。,基础,"SGD,stochastic gradient descent",,
l2_convexity,凸性,KnowledgePoint,L2,凸性在优化算法设计中起关键作用，使得算法分析和测试更容易，即使深度学习中的优化问题通常是非凸的，它们也常在局部极小值附近表现出凸性。,中等,convexity,,
l2_convex_set,凸集,KnowledgePoint,L2,"向量空间中的一个集合，若其中任意两点之间的线段仍完全包含在该集合内，则称为凸集。数学上表示为：对任意a,b∈X和λ∈[0,1]，有λa+(1−λ)b∈X。",基础,convex set,,
l2_convex_function,凸函数,KnowledgePoint,L2,"定义在凸集上的函数f，若对任意x,x'∈X和λ∈[0,1]，满足λf(x)+(1−λ)f(x')≥f(λx+(1−λ)x')，则称f为凸函数。",中等,convex function,,
l2_jensens_inequality,詹森不等式,KnowledgePoint,L2,凸函数的重要性质：对于凸函数f，有∑α_i f(x_i) ≥ f(∑α_i x_i)，其中α_i为非负实数且∑α_i=1；或E_X[f(X)] ≥ f(E_X[X])，即凸函数的期望不小于期望的凸函数。,中等,Jensen's inequality,,
l2_local_minimum_is_global,局部极小值是全局极小值,KnowledgePoint,L2,凸函数的一个关键性质：其任意局部极小值同时也是全局极小值，这保证了优化过程中不会“卡住”在次优解。,中等,local minimum is global minimum,,
l2_sublevel_set_convexity,下水平集的凸性,KnowledgePoint,L2,定义在凸集上的凸函数f的任意下水平集S_b = {x | f(x) ≤ b}也是凸集。,中等,"convexity of sublevel sets,below sets",,
l2_second_derivative_test,二阶导数与凸性,KnowledgePoint,L2,对于二次可微函数，其为凸函数当且仅当Hessian矩阵∇²f半正定（∇²f ⪰ 0）。在一维情况下，等价于f''(x) ≥ 0。,高,"second derivative test for convexity,Hessian condition",,
l2_constrained_optimization,约束优化,KnowledgePoint,L2,在满足一组不等式约束c_i(x) ≤ 0的前提下最小化目标函数f(x)的优化问题，常见于带限制条件的机器学习任务。,高,constrained optimization,,
l2_lagrangian_function,拉格朗日函数,KnowledgePoint,L2,"用于求解约束优化问题的辅助函数，形式为L(x, α) = f(x) + ∑α_i c_i(x)，其中α_i ≥ 0为拉格朗日乘子，通过鞍点优化（对x最小化、对α最大化）求解原问题。",高,"Lagrangian function,Lagrange multipliers",,
l2_penalty_method,惩罚方法,KnowledgePoint,L2,通过在目标函数中添加惩罚项（如权重衰减λ/2||w||²）来近似满足约束条件的优化策略，在实践中比精确满足约束更可靠。,中等,"penalty method,regularization as penalty",,
l2_projection,投影,KnowledgePoint,L2,将任意向量x映射到凸集X中距离最近的点，定义为Proj_X(x) = argmin_{x'∈X} ||x - x'||。常用于梯度裁剪、稀疏约束等场景。,中等,projection onto convex sets,,
l2_momentum_method,动量法,KnowledgePoint,L2,一种优化算法，通过使用过去梯度的指数加权平均（即动量）来加速收敛并减少振荡，特别适用于条件不佳的优化问题。,中等,"momentum,momentum method,gradient descent with momentum",,
l2_leaky_average,泄漏平均值,KnowledgePoint,L2,"在优化中用于计算梯度历史的指数加权平均，形式为 v_t = β v_{t-1} + g_t，其中 β ∈ (0,1)，用于平滑梯度估计。",中等,"leaky average,exponential moving average of gradients",,
l2_poorly_conditioned_optimization,条件不佳的优化问题,KnowledgePoint,L2,指目标函数在不同方向上曲率差异显著的问题（如狭长椭球），导致标准梯度下降收敛缓慢或不稳定。,中等,"ill-conditioned optimization,poorly conditioned problems",,
l2_convex_quadratic_function,凸二次函数,KnowledgePoint,L2,形如 h(x) = 1/2 x^T Q x + x^T c + b 的函数，其中 Q 为正定矩阵，是分析优化算法性能的常用理论模型。,高,"convex quadratic function,quadratic objective",,
l2_learning_rate_scheduling,动态学习率,KnowledgePoint,L2,在优化过程中随时间调整学习率的策略，包括分段常数、指数衰减和多项式衰减等方式，以平衡收敛速度与稳定性。,中等,"learning rate scheduler,adaptive learning rate,learning rate decay,learning rate scheduling,learning rate adjustment",,
l2_warmup_strategy,预热策略,KnowledgePoint,L2,在训练初期逐步增加学习率，避免因初始参数随机性导致的训练不稳定或发散。,中等,"warmup,learning rate warmup",,
l2_polynomial_decay,多项式衰减,KnowledgePoint,L2,一种学习率衰减策略，学习率随训练步数按多项式形式（如 t^{-0.5}）递减。,中等,"polynomial decay,power law decay",,
l2_cosine_scheduler,余弦调度器,KnowledgePoint,L2,基于余弦函数的学习率调度策略，在训练过程中平滑地从初始学习率降至目标学习率。,中等,"cosine annealing,cosine learning rate schedule",,
l2_piecewise_constant_scheduler,分段常数调度器,KnowledgePoint,L2,在预设的训练阶段保持学习率为常量，并在特定时间点按比例降低学习率。,中等,"piecewise constant learning rate,multi-step scheduler",,
l2_multiplicative_decay,乘法衰减,KnowledgePoint,L2,每次更新时将学习率乘以一个小于1的因子，实现指数式衰减，通常设有下界防止过小。,基础,"exponential decay,factor decay",,
l2_minibatch_gradient_descent,小批量随机梯度下降,KnowledgePoint,L2,一种在梯度下降和随机梯度下降之间折中的优化方法，通过使用小批量数据计算梯度，在保持统计效率的同时提升计算效率。,中等,"minibatch SGD update,stochastic gradient update,mini-batch SGD,minibatch gradient descent,小批量SGD",,
l2_vectorization,向量化,KnowledgePoint,L2,利用CPU/GPU的并行计算能力，通过矩阵或张量操作替代循环，提高计算效率的技术。,基础,"batch computation,向量化计算,vectorization",,
l2_cache_hierarchy,缓存层次结构,KnowledgePoint,L2,计算机内存系统中由寄存器、L1/L2/L3缓存和主存组成的层级结构，影响数据访问速度和计算效率。,中等,"cache hierarchy,内存层次结构",,
l2_gradient_variance,梯度方差,KnowledgePoint,L2,在随机优化中，由于使用子集数据估计梯度而引入的统计波动；小批量可降低梯度方差，使更新更稳定。,中等,"gradient variance,梯度噪声",,
l2_gradient_descent,梯度下降,KnowledgePoint,L2,一种通过沿目标函数负梯度方向迭代更新参数以最小化目标函数的优化算法。,基础,"gradient descent,GD",,
l2_learning_rate,学习率,KnowledgePoint,L2,控制每次参数更新步长的超参数，影响优化过程的收敛速度和稳定性。,基础,"learning rate,step size",,
l2_newtons_method,牛顿法,KnowledgePoint,L2,利用目标函数的一阶和二阶导数（Hessian矩阵）进行优化的二阶方法，具有二次收敛速度但计算成本高。,高,"Newton's method,second-order optimization",,
l2_preconditioning,预处理,KnowledgePoint,L2,通过调整参数空间的尺度（如使用对角Hessian的逆）来改善优化效率的技术。,中等,"preconditioning,scaling",,
l2_line_search,线搜索,KnowledgePoint,L2,在梯度方向上自动选择最优学习率以最小化目标函数的技术，常用于传统优化但不适用于大规模深度学习。,中等,"line search,exact line search",,
l2_convergence_analysis,凸目标的收敛性分析,KnowledgePoint,L2,对随机梯度下降在凸目标函数下的收敛行为进行理论分析，证明其在适当学习率下可收敛到最优解。,高,"convergence analysis for convex objectives,SGD convergence theory",,
l2_sampling_without_replacement,无替换采样,KnowledgePoint,L2,在训练过程中每个epoch内遍历所有样本一次且不重复采样的策略，相比有替换采样具有更低方差和更高数据效率。,中等,"sampling without replacement,full pass SGD",,
l2_translation_invariance,平移不变性,KnowledgePoint,L2,指无论目标物体出现在图像中的哪个位置，模型的响应应保持一致或仅发生相应平移的性质。,基础,"translation invariance,spatial invariance",,
l2_locality,局部性,KnowledgePoint,L2,神经网络前几层只关注输入图像的局部区域，而非全局依赖，从而减少计算复杂度并符合图像的自然结构。,基础,"locality,local receptive field",,
l2_convolution_layer,卷积层,KnowledgePoint,L2,通过滑动卷积核对输入进行加权求和操作，生成特征图的神经网络层，是卷积神经网络的核心组成部分。,中等,"convolutional layer,conv layer",,
l2_convolution_kernel,卷积核,KnowledgePoint,L2,用于在卷积操作中对局部区域进行加权的小型可学习权重矩阵，也称为滤波器。,基础,"convolution kernel,filter,weight kernel",,
l2_channels,多通道,KnowledgePoint,L2,卷积神经网络中表示输入或特征图深度维度的概念，每个通道可学习不同类型的特征，支持彩色图像或多特征表示。,中等,"channels,feature maps",,
l2_feature_maps,特征映射,KnowledgePoint,L2,卷积层输出的每个通道所表示的空间化特征图，反映特定模式（如边缘、纹理）的响应强度。,中等,"feature map,activation maps,activation map,feature maps",,
l2_multilayer_perceptron_limitations,多层感知机的限制,KnowledgePoint,L2,在处理高维图像数据时，全连接的多层感知机因参数量过大而难以训练，且无法利用图像的空间结构。,基础,"MLP limitations,fully connected layer drawbacks",,
l2_padding,填充,KnowledgePoint,L2,在输入数据边缘添加额外像素以控制输出特征图尺寸的技术，常用于保持空间维度或增加感受野。,基础,padding,,
l2_stride,步幅,KnowledgePoint,L2,卷积核在输入数据上滑动的步长，影响输出特征图的尺寸和计算密度。,基础,stride,,
l2_pooling_layer,汇聚层,KnowledgePoint,L2,用于在相邻区域聚合信息、降低特征图空间维度并增强平移不变性的层，常见类型包括最大池化和平均池化。,基础,"pooling layer,subsampling layer",,
l2_lenet,LeNet,KnowledgePoint,L2,第一个成功应用的卷积神经网络模型，由Yann LeCun等人提出，用于手写数字识别，奠定了现代CNN的基础架构。,中等,"LeNet-5,LeNet,classic CNN architecture,LeNet architecture",,
l2_lenet_architecture,LeNet架构,KnowledgePoint,L2,LeNet-5是一种早期的卷积神经网络架构，由卷积编码器（两个卷积层）和全连接层密集块（三个全连接层）组成，用于手写数字识别。,基础,"LeNet,LeNet-5,LeNet architecture",,
l2_activation_function_in_cnn,CNN中的激活函数,KnowledgePoint,L2,在卷积神经网络中引入非线性，LeNet使用Sigmoid激活函数，现代CNN多采用ReLU等更高效的激活函数。,基础,"activation function,sigmoid,ReLU",,
l2_flattening_in_cnn,卷积到全连接的展平操作,KnowledgePoint,L2,将卷积块输出的四维张量（批量、通道、高、宽）展平为二维向量，以便输入全连接层。,基础,"flattening,flatten operation,tensor reshaping",,
l2_cross_correlation,互相关运算,KnowledgePoint,L2,卷积层实际执行的运算是互相关运算，即在输入张量上滑动卷积核窗口，对窗口内元素与卷积核进行按元素相乘后求和，得到输出张量中的一个标量值。,基础,"cross-correlation,互相关",,
l2_edge_detection,图像边缘检测,KnowledgePoint,L2,"利用特定设计的卷积核（如[1, -1]）检测图像中像素值变化的位置，从而识别垂直或水平边缘。",中等,"edge detection,边缘检测",,
l2_kernel_learning,卷积核学习,KnowledgePoint,L2,通过梯度下降等优化方法，从输入-输出对中自动学习卷积核的权重参数，而不是手动设计。,高,"learnable kernel,kernel learning",,
l2_receptive_field,感受野,KnowledgePoint,L2,在前向传播中可能影响某一层某个元素计算的所有前层输入元素的集合。随着网络加深，感受野会扩大。,中等,receptive field,,
l2_multi_input_channels,多输入通道,KnowledgePoint,L2,当输入包含多个通道时，需要构造一个与输入数据具有相同输入通道数的卷积核，以便与输入数据进行互相关运算。每个通道分别进行互相关运算后对结果求和得到二维输出。,中等,"multi-input channels,multiple input channels",,
l2_multi_output_channels,多输出通道,KnowledgePoint,L2,通过为每个输出通道创建一个形状为$c_i \times k_h \times k_w$的卷积核张量，使得卷积层可以生成多个输出通道，从而学习不同特征的响应。,中等,"multi-output channels,multiple output channels",,
l2_1x1_convolution,$1\times 1$ 卷积层,KnowledgePoint,L2,$1\times 1$卷积在高度和宽度维度上不提取空间特征，仅在通道维度上进行线性变换，相当于在每个像素位置应用全连接层，用于调整通道数量和控制模型复杂性。,中等,"1x1 convolution,pointwise convolution",,
l2_max_pooling,最大汇聚层,KnowledgePoint,L2,在每个汇聚窗口中取最大值作为输出的汇聚操作，能保留最显著的特征并增强对小位移的鲁棒性。,基础,"maximum pooling,max pooling",,
l2_average_pooling,平均汇聚层,KnowledgePoint,L2,在每个汇聚窗口中取平均值作为输出的汇聚操作，对整体特征响应进行平滑处理。,基础,"average pooling,mean pooling",,
l2_pooling_stride_and_padding,汇聚层的填充与步幅,KnowledgePoint,L2,通过设置填充（padding）和步幅（stride）控制汇聚层输出的空间尺寸，类似于卷积层的机制。,中等,"padding and stride in pooling,pooling parameters",,
l2_multi_channel_pooling,多通道汇聚,KnowledgePoint,L2,在多通道输入上，汇聚层对每个通道独立进行操作，输出通道数与输入通道数相同。,中等,"channel-wise pooling,multi-channel pooling",,
l2_forward_propagation,前向传播,KnowledgePoint,L2,按顺序（从输入层到输出层）计算和存储神经网络中每层的结果，包括中间变量如加权输入、激活输出、损失项和正则化项。,基础,"forward propagation,forward pass",,
l2_backward_propagation,反向传播,KnowledgePoint,L2,基于链式法则，从输出层到输入层反向计算神经网络参数梯度的方法，用于更新模型权重，包含对中间变量和正则化项的梯度计算。,中等,"backward propagation,backpropagation",,
l2_computation_graph,计算图,KnowledgePoint,L2,用于可视化神经网络中变量与操作符之间依赖关系的有向图结构，其中方形表示变量，圆形表示操作符，箭头表示数据流向。,基础,computation graph,,
l2_l2_regularization,L2正则化,KnowledgePoint,L2,通过在目标函数中加入权重参数的Frobenius范数平方项（乘以超参数λ/2）来防止模型过拟合的正则化技术。,中等,"L2 regularization,weight decay,ridge regularization",,
l2_automatic_differentiation,自动微分,KnowledgePoint,L2,利用计算图和链式法则自动计算复杂函数梯度的技术，是深度学习框架实现反向传播的核心机制。,中等,"automatic differentiation,autodiff",,
l2_multilayer_perceptron,多层感知机,KnowledgePoint,L2,最简单的深度网络，由多层神经元组成，每一层与相邻上下层全连接，用于学习非线性函数映射。,基础,"Multilayer Perceptron,MLP",,
l2_overfitting,过拟合,KnowledgePoint,L2,模型在训练数据上表现很好但在测试数据上表现差的现象，通常由于模型容量过大或训练数据不足导致。,基础,overfitting,,
l2_underfitting,欠拟合,KnowledgePoint,L2,模型无法充分学习训练数据中的模式，导致在训练和测试数据上均表现不佳。,基础,underfitting,,
l2_model_selection,模型选择,KnowledgePoint,L2,在多个候选模型中选择最优模型的过程，通常基于验证集性能、交叉验证或信息准则等方法。,中等,model selection,,
l2_weight_decay,权重衰减,KnowledgePoint,L2,一种正则化技术，通过在损失函数中加入权重的L2范数惩罚项，限制模型复杂度以缓解过拟合。,中等,"weight decay,L2 regularization",,
l2_dropout,暂退法（Dropout）,KnowledgePoint,L2,一种在训练神经网络时通过随机丢弃部分神经元来防止过拟合的正则化技术，其核心思想是在前向传播过程中以一定概率将某些神经元的输出置零，并对保留的神经元进行缩放以保持期望不变。,中等,"Dropout regularization,dropout,神经元丢弃",,
l2_numerical_stability,数值稳定性,KnowledgePoint,L2,指在深度网络训练过程中避免梯度爆炸或消失、浮点数溢出等问题，确保计算过程可靠。,高,numerical stability,,
l2_parameter_initialization,参数初始化,KnowledgePoint,L2,为神经网络参数设置合适的初始值，对训练收敛速度和最终性能有重要影响。,中等,"parameter initialization,weight initialization",,
l2_activation_function,激活函数,KnowledgePoint,L2,用于引入非线性变换的函数，使神经网络能够学习复杂模式。文中特别实现了ReLU激活函数。,基础,"activation function,ReLU",,
l2_model_initialization,模型参数初始化,KnowledgePoint,L2,为神经网络的权重和偏置分配初始值的过程，通常采用随机初始化策略以打破对称性。,中等,"parameter initialization,weight initialization",,
l2_forward_computation,前向计算,KnowledgePoint,L2,将输入数据通过神经网络各层依次计算输出结果的过程，包括线性变换和激活函数应用。,基础,"forward pass,inference",,
l2_hidden_layer,隐藏层,KnowledgePoint,L2,位于输入层和输出层之间的神经网络层，用于提取数据的高阶特征，通常配备激活函数以引入非线性。,基础,hidden layer,,
l2_relu_activation,ReLU激活函数,KnowledgePoint,L2,"一种常用的非线性激活函数，定义为f(x) = max(0, x)，用于引入非线性并缓解梯度消失问题。",基础,"ReLU,Rectified Linear Unit",,
l2_data_preprocessing,数据预处理,KnowledgePoint,L2,对原始数据进行清洗、转换和标准化，使其适合用于机器学习模型训练的过程，包括处理缺失值、标准化数值特征、独热编码类别特征等。,中等,"data preprocessing,数据清洗,特征工程",,
l2_k_fold_cross_validation,K折交叉验证,KnowledgePoint,L2,一种模型评估与超参数调优技术，将训练集划分为K个子集，轮流使用其中一个作为验证集，其余作为训练集，以获得更稳健的性能估计。,中等,"K-fold cross validation,k折验证",,
l2_log_rmse,对数均方根误差,KnowledgePoint,L2,用于回归任务的评估指标，特别适用于房价预测等场景，通过计算预测值与真实值对数之差的均方根来衡量相对误差。,中等,"log RMSE,logarithmic root mean squared error",,
l2_one_hot_encoding,独热编码,KnowledgePoint,L2,将类别型特征转换为二进制向量表示的方法，每个类别对应一个新特征，取值为0或1，便于模型处理离散变量。,基础,"one-hot encoding,dummy encoding",,
l2_feature_standardization,特征标准化,KnowledgePoint,L2,将数值型特征缩放到零均值和单位方差的过程，公式为 (x - μ) / σ，有助于优化收敛和防止某些特征因尺度大而主导模型。,基础,"feature standardization,z-score normalization,标准化",,
l2_gradient_exploding,梯度爆炸,KnowledgePoint,L2,在深层神经网络中，反向传播时梯度逐层放大，导致参数更新幅度过大，破坏模型收敛性。,中等,"gradient exploding,exploding gradient",,
l2_symmetry_breaking,打破对称性,KnowledgePoint,L2,通过随机初始化等方式，确保神经网络中相同结构的神经元在训练初期具有不同行为，从而避免因对称性导致的表达能力受限。,基础,"symmetry breaking,breaking symmetry",,
l2_xavier_initialization,Xavier初始化,KnowledgePoint,L2,一种参数初始化方法，根据输入和输出神经元数量设定权重的方差，使得前向传播和反向传播中的信号方差保持稳定。,中等,"Xavier initialization,Glorot initialization",,
l2_bias_variance_tradeoff,偏差-方差权衡,KnowledgePoint,L2,机器学习中泛化性能的基本权衡：偏差高的模型（如线性模型）表达能力弱但稳定，方差低；而方差高的模型（如深度神经网络）表达能力强但容易过拟合。,基础,"bias-variance tradeoff,偏差方差权衡",,
l2_overfitting_in_dnn,深度神经网络中的过拟合,KnowledgePoint,L2,即使在样本数量远大于特征数量的情况下，深度神经网络仍可能严重过拟合，表现为在训练集上表现完美但在测试集上性能极差，这反映了其极强的拟合能力与泛化难题。,中等,"overfitting in deep neural networks,DNN overfitting",,
l2_noise_robustness,扰动稳健性,KnowledgePoint,L2,良好的模型应对输入的微小扰动（如噪声）不敏感，函数应具有平滑性；向输入或隐藏层注入噪声可提升模型的泛化能力，这是暂退法的理论基础之一。,中等,"robustness to perturbation,noise robustness,input noise regularization",,
l2_l1_regularization,L1正则化,KnowledgePoint,L2,通过在目标函数中加入权重参数的L1范数作为惩罚项，促使部分权重变为零，从而实现特征选择的正则化方法。,中等,"L1 regularization,lasso regression",,
l2_ridge_regression,岭回归,KnowledgePoint,L2,在线性回归中使用L2正则化的经典统计学习方法，通过惩罚权重的平方和来防止过拟合。,中等,"ridge regression,Tikhonov regularization",,
l2_lasso_regression,套索回归,KnowledgePoint,L2,在线性回归中使用L1正则化的经典统计学习方法，能够自动进行特征选择，将不重要特征的系数压缩为零。,中等,"lasso regression,least absolute shrinkage and selection operator",,
l2_norms_in_regularization,范数在正则化中的应用,KnowledgePoint,L2,利用L1或L2范数度量模型参数的大小，作为复杂度惩罚项加入损失函数，以控制模型泛化能力。,基础,"norms in regularization,regularization norms",,
l2_training_error,训练误差,KnowledgePoint,L2,模型在训练数据集上计算得到的误差，用于衡量模型对已知数据的拟合程度。,基础,training error,,
l2_generalization_error,泛化误差,KnowledgePoint,L2,模型在从相同分布中抽取的无限多新样本上的期望误差，反映模型对未知数据的预测能力。,中等,generalization error,,
l2_validation_set,验证集,KnowledgePoint,L2,用于在模型训练过程中评估不同模型或超参数配置性能的独立数据集，避免使用测试集进行模型选择以防止数据泄露。,基础,"validation dataset,validation set",,
l2_model_complexity,模型复杂性,KnowledgePoint,L2,衡量模型表达能力的指标，通常与可调参数数量、参数取值范围、训练迭代次数等相关；复杂模型更容易过拟合，简单模型更容易欠拟合。,中等,model complexity,,
l2_iid_assumption,独立同分布假设,KnowledgePoint,L2,假设训练数据和测试数据均从相同的概率分布中独立采样，是统计学习理论中的基本前提。,中等,"i.i.d. assumption,independent and identically distributed assumption",,
l2_distribution_shift,分布偏移,KnowledgePoint,L2,指训练数据和测试数据来自不同概率分布的现象，可能导致模型在部署时性能显著下降。,中等,"distribution shift,dataset shift",,
l2_covariate_shift,协变量偏移,KnowledgePoint,L2,输入特征分布发生变化，但条件标签分布 P(y|x) 保持不变的分布偏移类型。,中等,"covariate shift,feature shift",,
l2_label_shift,标签偏移,KnowledgePoint,L2,标签边缘分布 P(y) 发生变化，但类别条件分布 P(x|y) 保持不变的分布偏移类型。,中等,"label shift,prior probability shift",,
